mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_RF__max_depth,param_RF__max_features,param_RF__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.0054318904876708984,0.0004063597757240604,0.001913309097290039,0.0006717879480903383,3,4,3,"{'RF__max_depth': 3, 'RF__max_features': 4, 'RF__n_estimators': 3}",0.675,0.6875,0.6,0.6375,0.75,0.75,0.775,0.7,0.7375,0.6625,0.6974999999999999,0.052974050251042744,101
0.007289981842041016,5.261387582035032e-05,0.0018332719802856446,2.024510695916815e-05,3,4,5,"{'RF__max_depth': 3, 'RF__max_features': 4, 'RF__n_estimators': 5}",0.675,0.6875,0.6,0.6375,0.75,0.7625,0.775,0.7,0.7375,0.6625,0.6987499999999999,0.05432828453025184,99
0.013455343246459962,0.0010445067273443462,0.002475929260253906,0.0002856420112551177,3,4,10,"{'RF__max_depth': 3, 'RF__max_features': 4, 'RF__n_estimators': 10}",0.675,0.675,0.6,0.6375,0.75,0.7625,0.7625,0.7125,0.7375,0.6625,0.6974999999999999,0.05326818938165629,101
0.028983211517333983,0.0012027735138104624,0.0034813165664672853,0.0004261728606856187,3,4,25,"{'RF__max_depth': 3, 'RF__max_features': 4, 'RF__n_estimators': 25}",0.675,0.6875,0.6,0.6375,0.75,0.7625,0.7625,0.725,0.7375,0.6625,0.7,0.05332682251925385,93
0.05484569072723389,0.0009216498708032213,0.005233931541442871,0.0002317461959869392,3,4,50,"{'RF__max_depth': 3, 'RF__max_features': 4, 'RF__n_estimators': 50}",0.675,0.675,0.6,0.6375,0.7625,0.75,0.7625,0.7125,0.7375,0.6625,0.6974999999999999,0.05326818938165629,101
0.16176533699035645,0.007188264484411323,0.012266325950622558,0.0008704974465505816,3,4,150,"{'RF__max_depth': 3, 'RF__max_features': 4, 'RF__n_estimators': 150}",0.675,0.675,0.6,0.6375,0.7625,0.75,0.7625,0.7125,0.7375,0.6625,0.6974999999999999,0.05326818938165629,101
0.005788683891296387,0.0006076534550024338,0.0017207145690917968,6.615037658449783e-05,3,7,3,"{'RF__max_depth': 3, 'RF__max_features': 7, 'RF__n_estimators': 3}",0.6625,0.6625,0.6,0.625,0.775,0.8,0.8,0.725,0.7625,0.6875,0.7100000000000001,0.06910137480542629,71
0.007586908340454101,7.859621696679414e-05,0.0018844366073608398,3.074073597715764e-05,3,7,5,"{'RF__max_depth': 3, 'RF__max_features': 7, 'RF__n_estimators': 5}",0.6625,0.675,0.6,0.6375,0.75,0.7625,0.7875,0.725,0.7625,0.675,0.70375,0.059174001892723115,84
0.013935565948486328,0.0012629772169638195,0.002492523193359375,0.00021749860033232915,3,7,10,"{'RF__max_depth': 3, 'RF__max_features': 7, 'RF__n_estimators': 10}",0.6625,0.7,0.6,0.65,0.7625,0.75,0.7875,0.725,0.7375,0.675,0.7049999999999998,0.0551135192126215,83
0.029362130165100097,0.0008213330492979832,0.0034707307815551756,0.00016086919915535836,3,7,25,"{'RF__max_depth': 3, 'RF__max_features': 7, 'RF__n_estimators': 25}",0.6625,0.675,0.6,0.65,0.7625,0.7375,0.775,0.725,0.7375,0.6625,0.69875,0.053750000000000006,96
0.0557875394821167,0.0008992579251601351,0.005284428596496582,0.0005303596105106333,3,7,50,"{'RF__max_depth': 3, 'RF__max_features': 7, 'RF__n_estimators': 50}",0.6625,0.7,0.6,0.65,0.7625,0.75,0.775,0.725,0.7375,0.6625,0.7024999999999999,0.0541410195692693,86
0.16030948162078856,0.0020657068800417283,0.011686992645263673,0.000191059366985577,3,7,150,"{'RF__max_depth': 3, 'RF__max_features': 7, 'RF__n_estimators': 150}",0.6625,0.6875,0.6,0.65,0.7625,0.75,0.7625,0.725,0.7375,0.6625,0.7,0.052737557774322465,93
0.0057637691497802734,0.00033551182091813526,0.0017748355865478515,0.00017872572312536262,3,15,3,"{'RF__max_depth': 3, 'RF__max_features': 15, 'RF__n_estimators': 3}",0.7125,0.65,0.6,0.65,0.775,0.7625,0.7625,0.7375,0.7625,0.6,0.70125,0.06625,88
0.008221244812011719,0.00033932929945267997,0.001917266845703125,8.803892631359674e-05,3,15,5,"{'RF__max_depth': 3, 'RF__max_features': 15, 'RF__n_estimators': 5}",0.6625,0.65,0.6,0.65,0.775,0.775,0.7625,0.7125,0.7625,0.6625,0.70125,0.06084046761818979,88
0.01398465633392334,0.0003454739089411421,0.002334141731262207,6.567420985535688e-05,3,15,10,"{'RF__max_depth': 3, 'RF__max_features': 15, 'RF__n_estimators': 10}",0.6625,0.675,0.6,0.65,0.75,0.8,0.8,0.725,0.75,0.675,0.70875,0.0632579046444,74
0.031064271926879883,0.0005046460033588595,0.0034399032592773438,0.0001807598724532902,3,15,25,"{'RF__max_depth': 3, 'RF__max_features': 15, 'RF__n_estimators': 25}",0.6875,0.675,0.6,0.6625,0.7625,0.7875,0.8,0.725,0.75,0.6875,0.7137499999999999,0.05927952850689689,62
0.05995297431945801,0.0017085866772695868,0.0051048040390014645,0.00017257244844959876,3,15,50,"{'RF__max_depth': 3, 'RF__max_features': 15, 'RF__n_estimators': 50}",0.6875,0.675,0.6125,0.6625,0.7625,0.8,0.8125,0.725,0.75,0.7,0.7187500000000001,0.060013019420789016,53
0.17174091339111328,0.0025385157803097373,0.011609482765197753,0.0002524750325175852,3,15,150,"{'RF__max_depth': 3, 'RF__max_features': 15, 'RF__n_estimators': 150}",0.65,0.675,0.6,0.6625,0.7625,0.8,0.8,0.725,0.75,0.6875,0.71125,0.06360277116604278,65
0.006039237976074219,0.0003923490954285227,0.001784205436706543,0.0001730758042783619,3,20,3,"{'RF__max_depth': 3, 'RF__max_features': 20, 'RF__n_estimators': 3}",0.675,0.6875,0.6,0.6375,0.75,0.775,0.8,0.675,0.75,0.6625,0.7012499999999999,0.0610967470492497,91
0.00863039493560791,0.00031746980849304315,0.001975250244140625,0.00014225890603191074,3,20,5,"{'RF__max_depth': 3, 'RF__max_features': 20, 'RF__n_estimators': 5}",0.7,0.675,0.625,0.6625,0.75,0.775,0.8,0.7,0.7375,0.6625,0.70875,0.052752369615023,74
0.014992141723632812,0.0006956415591568922,0.002379012107849121,0.00016670990334206992,3,20,10,"{'RF__max_depth': 3, 'RF__max_features': 20, 'RF__n_estimators': 10}",0.6625,0.675,0.625,0.6625,0.75,0.7875,0.7875,0.725,0.7375,0.675,0.70875,0.05363359488231233,74
0.032715249061584475,0.0008783176332699682,0.0033677339553833006,0.00013718423760972909,3,20,25,"{'RF__max_depth': 3, 'RF__max_features': 20, 'RF__n_estimators': 25}",0.6625,0.675,0.6,0.6625,0.75,0.8,0.8,0.725,0.7375,0.7,0.7112499999999999,0.060583104080263184,67
0.061684679985046384,0.0005477380309221838,0.005119872093200683,0.0002565540795067109,3,20,50,"{'RF__max_depth': 3, 'RF__max_features': 20, 'RF__n_estimators': 50}",0.6625,0.675,0.6,0.6625,0.7625,0.8,0.8,0.725,0.7375,0.6875,0.7112499999999999,0.061859215158293124,67
0.17875490188598633,0.003226328630814194,0.012002015113830566,0.0009711591546088582,3,20,150,"{'RF__max_depth': 3, 'RF__max_features': 20, 'RF__n_estimators': 150}",0.6625,0.6625,0.6125,0.6625,0.7625,0.8,0.8,0.725,0.75,0.675,0.7112499999999999,0.06185921515829312,67
0.006466984748840332,0.000604321583487804,0.002046680450439453,0.00024293087117370705,5,4,3,"{'RF__max_depth': 5, 'RF__max_features': 4, 'RF__n_estimators': 3}",0.6875,0.75,0.625,0.5625,0.7125,0.7625,0.75,0.6625,0.7,0.6125,0.6825,0.06304760106459245,111
0.007774209976196289,0.00025611867036780413,0.0018990039825439453,4.5089485680983984e-05,5,4,5,"{'RF__max_depth': 5, 'RF__max_features': 4, 'RF__n_estimators': 5}",0.7125,0.725,0.6125,0.6,0.7125,0.75,0.7875,0.7,0.725,0.6625,0.6987499999999999,0.05546676933083447,99
0.013788676261901856,0.0010350452648957035,0.002373147010803223,0.00010152164616458895,5,4,10,"{'RF__max_depth': 5, 'RF__max_features': 4, 'RF__n_estimators': 10}",0.6875,0.6875,0.6,0.6375,0.725,0.7875,0.775,0.725,0.7375,0.65,0.70125,0.0571319744101322,88
0.02973644733428955,0.0006624961133549291,0.003409934043884277,0.00014662925013516433,5,4,25,"{'RF__max_depth': 5, 'RF__max_features': 4, 'RF__n_estimators': 25}",0.675,0.675,0.6125,0.65,0.7625,0.7875,0.7875,0.725,0.725,0.675,0.7075,0.056513272777286544,80
0.05711796283721924,0.0014319513046632789,0.005329728126525879,0.00020383339127662964,5,4,50,"{'RF__max_depth': 5, 'RF__max_features': 4, 'RF__n_estimators': 50}",0.65,0.6875,0.6125,0.65,0.7625,0.75,0.7625,0.725,0.7375,0.6875,0.7024999999999999,0.05024937810560443,86
0.1625688076019287,0.0023265978525936993,0.011975979804992676,0.0002727077617232141,5,4,150,"{'RF__max_depth': 5, 'RF__max_features': 4, 'RF__n_estimators': 150}",0.6625,0.6875,0.6125,0.65,0.7875,0.75,0.775,0.7375,0.7375,0.6875,0.70875,0.054500573391479096,74
0.005812692642211914,0.00019209495442084205,0.0019154548645019531,0.0002215908756839832,5,7,3,"{'RF__max_depth': 5, 'RF__max_features': 7, 'RF__n_estimators': 3}",0.6,0.625,0.6375,0.625,0.775,0.75,0.8,0.7375,0.725,0.6875,0.6962499999999999,0.06732616504747617,105
0.008324837684631348,0.0004500046368836287,0.0019952058792114258,0.0001510788855887989,5,7,5,"{'RF__max_depth': 5, 'RF__max_features': 7, 'RF__n_estimators': 5}",0.675,0.65,0.625,0.625,0.8,0.7625,0.8125,0.7375,0.775,0.6375,0.7100000000000001,0.07132671308843554,71
0.014480781555175782,0.0006592628338399937,0.0024184703826904295,0.0001225700060239574,5,7,10,"{'RF__max_depth': 5, 'RF__max_features': 7, 'RF__n_estimators': 10}",0.675,0.675,0.65,0.65,0.7875,0.7875,0.8,0.7375,0.7375,0.7125,0.7212500000000001,0.0547865175020278,48
0.030834412574768065,0.0006512665791320407,0.0033956289291381834,0.0001398443987724988,5,7,25,"{'RF__max_depth': 5, 'RF__max_features': 7, 'RF__n_estimators': 25}",0.65,0.675,0.65,0.65,0.7875,0.7875,0.8125,0.75,0.75,0.7125,0.7225,0.06015604707757981,45
0.059345674514770505,0.001986796377086843,0.005214786529541016,0.00033834854436861175,5,7,50,"{'RF__max_depth': 5, 'RF__max_features': 7, 'RF__n_estimators': 50}",0.675,0.6875,0.625,0.6625,0.7875,0.825,0.8125,0.7375,0.75,0.7,0.7262500000000001,0.06384796394561065,34
0.17141494750976563,0.002400294769785972,0.012131404876708985,0.00042141415330770995,5,7,150,"{'RF__max_depth': 5, 'RF__max_features': 7, 'RF__n_estimators': 150}",0.6625,0.675,0.6,0.6625,0.7875,0.7875,0.8125,0.7375,0.75,0.7,0.7175,0.065,56
0.006340479850769043,0.00029146747745031405,0.0017788171768188476,7.689813822091928e-05,5,15,3,"{'RF__max_depth': 5, 'RF__max_features': 15, 'RF__n_estimators': 3}",0.6875,0.7375,0.6,0.7125,0.7375,0.725,0.775,0.7375,0.75,0.625,0.70875,0.053047737934807375,74
0.008764863014221191,0.00041938657912349466,0.0019321441650390625,0.0001305726943808027,5,15,5,"{'RF__max_depth': 5, 'RF__max_features': 15, 'RF__n_estimators': 5}",0.725,0.7375,0.5875,0.6875,0.775,0.7875,0.775,0.725,0.75,0.6875,0.72375,0.056027337077537424,41
0.01524214744567871,0.00048375722863634393,0.00249788761138916,0.0003254056647220611,5,15,10,"{'RF__max_depth': 5, 'RF__max_features': 15, 'RF__n_estimators': 10}",0.675,0.7,0.6125,0.6875,0.7625,0.775,0.7875,0.75,0.8125,0.6625,0.7224999999999999,0.060930288034769686,46
0.03476889133453369,0.001103568064725301,0.003565263748168945,0.00022838334098342652,5,15,25,"{'RF__max_depth': 5, 'RF__max_features': 15, 'RF__n_estimators': 25}",0.675,0.6625,0.6125,0.7,0.775,0.8125,0.8,0.7625,0.7875,0.7,0.72875,0.06423832578764797,30
0.06607246398925781,0.0017403801842890553,0.005358338356018066,0.0003159741783930139,5,15,50,"{'RF__max_depth': 5, 'RF__max_features': 15, 'RF__n_estimators': 50}",0.7,0.7125,0.6375,0.7,0.7625,0.8125,0.8375,0.75,0.7625,0.6875,0.73625,0.05740481251602519,15
0.1917642831802368,0.0030245405235893373,0.011928272247314454,0.00015779473163981693,5,15,150,"{'RF__max_depth': 5, 'RF__max_features': 15, 'RF__n_estimators': 150}",0.6875,0.675,0.6375,0.675,0.7625,0.825,0.8,0.7375,0.7375,0.7,0.72375,0.05658235148878138,41
0.006284308433532715,0.00012666611880428105,0.0017043352127075195,5.1905674036976806e-05,5,20,3,"{'RF__max_depth': 5, 'RF__max_features': 20, 'RF__n_estimators': 3}",0.65,0.7,0.6375,0.7,0.7375,0.7375,0.8,0.75,0.7875,0.7125,0.7212500000000001,0.050015622559356404,48
0.008973002433776855,0.00018076456584569537,0.00184323787689209,3.051561297109534e-05,5,20,5,"{'RF__max_depth': 5, 'RF__max_features': 20, 'RF__n_estimators': 5}",0.675,0.7125,0.6375,0.7,0.7875,0.7875,0.7875,0.75,0.825,0.7125,0.7375,0.05645794895318106,11
0.016150808334350585,0.0005650024170962856,0.0024688720703125,0.0003443356612280923,5,20,10,"{'RF__max_depth': 5, 'RF__max_features': 20, 'RF__n_estimators': 10}",0.675,0.725,0.625,0.6375,0.7625,0.7875,0.7875,0.7375,0.7875,0.725,0.7249999999999999,0.05782516753110188,39
0.03719992637634277,0.0010739114119179224,0.003487563133239746,0.00016464788840554596,5,20,25,"{'RF__max_depth': 5, 'RF__max_features': 20, 'RF__n_estimators': 25}",0.6625,0.7,0.625,0.6875,0.75,0.825,0.825,0.7625,0.7875,0.7,0.7324999999999999,0.06475916923494308,21
0.0722970962524414,0.005959069584705477,0.005193638801574707,0.00014563492266835107,5,20,50,"{'RF__max_depth': 5, 'RF__max_features': 20, 'RF__n_estimators': 50}",0.675,0.7,0.65,0.65,0.775,0.825,0.8125,0.7625,0.7625,0.7,0.73125,0.06130099917619613,24
0.20265552997589112,0.001965075369321386,0.012712812423706055,0.0004622046575375687,5,20,150,"{'RF__max_depth': 5, 'RF__max_features': 20, 'RF__n_estimators': 150}",0.6625,0.675,0.65,0.6625,0.7625,0.825,0.8,0.75,0.75,0.725,0.72625,0.058483437826447916,37
0.005506253242492676,0.00013400547157353099,0.0016882658004760743,3.253403880779728e-05,7,4,3,"{'RF__max_depth': 7, 'RF__max_features': 4, 'RF__n_estimators': 3}",0.65,0.6375,0.7,0.6375,0.7375,0.8,0.8125,0.7125,0.7125,0.6625,0.70625,0.05975209201358562,81
0.007759976387023926,0.00039833637459465185,0.001822686195373535,2.87721838264875e-05,7,4,5,"{'RF__max_depth': 7, 'RF__max_features': 4, 'RF__n_estimators': 5}",0.65,0.675,0.6375,0.6625,0.775,0.8375,0.825,0.7625,0.7875,0.7,0.73125,0.07098635432250341,24
0.014585256576538086,0.0014294875334774815,0.0024263620376586913,0.0002505056522445691,7,4,10,"{'RF__max_depth': 7, 'RF__max_features': 4, 'RF__n_estimators': 10}",0.6625,0.725,0.6125,0.7,0.7875,0.775,0.825,0.775,0.75,0.675,0.72875,0.06251249875024992,30
0.031139326095581055,0.0008541821724744192,0.003437519073486328,0.00012053986884781672,7,4,25,"{'RF__max_depth': 7, 'RF__max_features': 4, 'RF__n_estimators': 25}",0.7,0.675,0.6375,0.675,0.75,0.775,0.8,0.7625,0.75,0.7125,0.7237500000000001,0.049196671635386074,40
0.059361624717712405,0.0009481810974415782,0.005289220809936523,0.00015136185964025427,7,4,50,"{'RF__max_depth': 7, 'RF__max_features': 4, 'RF__n_estimators': 50}",0.675,0.6875,0.625,0.675,0.775,0.75,0.8125,0.75,0.7375,0.7125,0.72,0.05279678020485719,50
0.1705498218536377,0.0013425629158488534,0.012345147132873536,0.0002821347196804044,7,4,150,"{'RF__max_depth': 7, 'RF__max_features': 4, 'RF__n_estimators': 150}",0.675,0.6875,0.6125,0.6625,0.7875,0.7875,0.825,0.75,0.7375,0.7125,0.72375,0.06261239893184094,41
0.005990028381347656,0.00021248807577953802,0.0017419099807739259,2.3371211516333545e-05,7,7,3,"{'RF__max_depth': 7, 'RF__max_features': 7, 'RF__n_estimators': 3}",0.6125,0.6875,0.6,0.55,0.6625,0.8125,0.8,0.675,0.825,0.6875,0.69125,0.08945145331407421,107
0.008460235595703126,0.0005027754331186314,0.001939702033996582,9.929926596467998e-05,7,7,5,"{'RF__max_depth': 7, 'RF__max_features': 7, 'RF__n_estimators': 5}",0.6375,0.6875,0.6,0.5875,0.75,0.8125,0.8375,0.725,0.8,0.65,0.70875,0.08552229241548663,74
0.01463785171508789,0.0003640979603438494,0.0024071216583251955,0.0001668403678719008,7,7,10,"{'RF__max_depth': 7, 'RF__max_features': 7, 'RF__n_estimators': 10}",0.65,0.7,0.6125,0.6625,0.7625,0.7625,0.8125,0.8,0.75,0.6375,0.7150000000000001,0.06796138609534093,60
0.03289494514465332,0.0006526014164773376,0.0035927534103393556,0.0002676127097553572,7,7,25,"{'RF__max_depth': 7, 'RF__max_features': 7, 'RF__n_estimators': 25}",0.6625,0.675,0.6125,0.6625,0.725,0.8,0.8,0.725,0.7375,0.7,0.71,0.057227615711298,73
0.06422462463378906,0.0034657871201677227,0.005496573448181152,0.0006034512619043033,7,7,50,"{'RF__max_depth': 7, 'RF__max_features': 7, 'RF__n_estimators': 50}",0.6875,0.7,0.625,0.675,0.7625,0.8125,0.8375,0.75,0.725,0.7125,0.72875,0.06073765306628171,30
